entityId,latitude,longitude,timestamp,entityType,vehicleId,assetId,deliveryId,orderId,packageId,stopId,stopSequence,routeId,driverId,driverName,depot,warehouse,region,status,speed,heading,alertFlag,priority,scheduledTime,eta,actualArrivalTime,deliveryWindowStart,deliveryWindowEnd,completionTime,failedReason,exceptionReason,slaBreachFlag,destinationLatitude,destinationLongitude,fuelLevel,batteryLevel,temperature,sensorValue,maintenanceStatus,itemCategory,itemValue,temperatureSensitiveFlag
VH-0001,40.5107,-74.2472,2026-05-29T09:00:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,18,0,true,,,,,,,,,,,,,25,30,,,,,,
VH-0001,40.5287,-74.2252,2026-05-29T08:25:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,19,22,true,,,,,,,,,,,,,26,31,,,,,,
VH-0001,40.5467,-74.2032,2026-05-29T07:50:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,20,44,true,,,,,,,,,,,,,27,32,,,,,,
VH-0001,40.5647,-74.1812,2026-05-29T07:15:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,21,66,true,,,,,,,,,,,,,28,33,,,,,,
VH-0001,40.5827,-74.1592,2026-05-29T06:40:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,22,88,true,,,,,,,,,,,,,29,34,,,,,,
VH-0001,40.6007,-74.1372,2026-05-29T06:05:00.000Z,Mobile Asset,VH-0001,AST-0001,,,,,,R-001,DRV-001,Driver 1,North DC,WH-North,Northeast,Alert,23,110,true,,,,,,,,,,,,,30,35,,,,,,
VH-0002,33.569,-84.648,2026-05-29T10:50:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Active,19,17,,,,,,,,,,,,,,32,,,,,,,
VH-0002,33.587,-84.626,2026-05-29T11:02:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Active,20,39,,,,,,,,,,,,,,33,,,,,,,
VH-0002,33.605,-84.604,2026-05-29T11:14:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Idle,0,61,,,,,,,,,,,,,,34,,,,,,,
VH-0002,33.623,-84.582,2026-05-29T11:26:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Delayed,22,83,,,,,,,,,,,,,,35,,,,,,,
VH-0002,33.641,-84.56,2026-05-29T11:38:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Offline,0,105,,,,,,,,,,,,,,36,,,,,,,
VH-0002,33.659,-84.538,2026-05-29T11:50:00.000Z,Vehicle,VH-0002,,,,,,,R-002,DRV-002,Driver 2,South DC,WH-South,Southeast,Maintenance,24,127,,,,,,,,,,,,,,37,,,,Inspection due,,,
VH-0003,41.7431,-87.8378,2026-05-29T10:50:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Active,20,34,,,,,,,,,,,,,,39,,,,,,,
VH-0003,41.7611,-87.8158,2026-05-29T11:02:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Idle,0,56,,,,,,,,,,,,,,40,,,,,,,
VH-0003,41.7791,-87.7938,2026-05-29T11:14:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Delayed,22,78,,,,,,,,,,,,,,41,,,,,,,
VH-0003,41.7971,-87.7718,2026-05-29T11:26:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Offline,0,100,,,,,,,,,,,,,,42,,,,,,,
VH-0003,41.8151,-87.7498,2026-05-29T11:38:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Maintenance,24,122,,,,,,,,,,,,,,43,,,,Inspection due,,,
VH-0003,41.8331,-87.7278,2026-05-29T11:50:00.000Z,Vehicle,VH-0003,,,,,,,R-003,DRV-003,Driver 3,Central DC,WH-Central,Central,Alert,25,144,,,,,,,,,,,,,,44,,,,,,,
VH-0004,33.9622,-118.3997,2026-05-29T10:50:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Idle,0,51,,,,,,,,,,,,,,46,,,,,,,
VH-0004,33.9802,-118.3777,2026-05-29T11:02:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Delayed,22,73,,,,,,,,,,,,,,47,,,,,,,
VH-0004,33.9982,-118.3557,2026-05-29T11:14:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Offline,0,95,,,,,,,,,,,,,,48,,,,,,,
VH-0004,34.0162,-118.3337,2026-05-29T11:26:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Maintenance,24,117,,,,,,,,,,,,,,49,,,,Inspection due,,,
VH-0004,34.0342,-118.3117,2026-05-29T11:38:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Alert,25,139,,,,,,,,,,,,,,50,,,,,,,
VH-0004,34.0522,-118.2897,2026-05-29T11:50:00.000Z,Vehicle,VH-0004,,,,,,,R-004,DRV-004,Driver 4,West DC,WH-West,West,Active,26,161,,,,,,,,,,,,,,51,,,,,,,
VH-0005,32.7317,-96.901,2026-05-29T10:50:00.000Z,Vehicle,VH-0005,,,,,,,R-005,DRV-005,Driver 5,Texas Hub,WH-Texas,Southwest,Delayed,22,68,,,,,,,,,,,,,,53,,,,,,,
VH-0005,32.7497,-96.879,2026-05-29T11:02:00.000Z,Vehicle,VH-0005,,,,,,,R-005,DRV-005,Driver 5,Texas Hub,WH-Texas,Southwest,Offline,0,90,,,,,,,,,,,,,,54,,,,,,,
